小鹏飞| 大豪科技|董秘你好，请问在你退休或者公司退市之前大豪还会提交重组申请恢复报告吗?|4小时前|感谢关注。|4小时前
亮剑2018168| 大豪科技|您好！公司公告的重组预告是不是趁酒的市场热度？如果是认真考虑后的结果，账目整理应该早就有评估过，为何监管部门的问询函拖这么久回复不了！当前很多上市公司钻制度的漏洞，随意抛出重组计划，引发股价上涨，最后无疾而终，导致数十万股民血本无归，玩火者必自焚！望公司引以为戒！认真落实重组！|2021年01月22日 14:07|目前重组进展顺利，公司会在保证真实准确完整的情况下尽快回复，感谢关注|2021年01月22日 14:25
亮剑2018168| 大豪科技|您好！去年公司公告说子公司芯片已经打入华为，请问该项目进展如何？大概何时会对公司业绩做出贡献，预计今年能贡献多少利润？|2021年01月22日 14:13|公司对兴感的投资仅为财务投资，请参考之前的回复。感谢关注|2021年01月22日 14:24
燕小子| 大豪科技|你好 董秘，贵司重组的进展如何了，感谢告知～|2021年01月20日 14:37|尊敬的投资者您好，重大资产重组在按计划顺利进行，后续进展可关注公司公告。|2021年01月20日 14:57
冬天里的白玫瑰| 大豪科技|尊敬的董秘您好，看到有些股民羡慕嫉妒恨有眼光的在下降通道买入公司股票，和公司不离不弃的股东，并占用了董秘宝贵的工作时间，我感觉股民的素质教育还是需要加强。非常感谢公司励精图治，为改革攻坚竭尽全力的工作态度，最后，我也问一个我关心的问题，这次重组可能涉及面很广，但是否有一个大致的时间能完成？也祝公司管理层新年快乐，公司新的一年业绩突飞猛进！谢谢。|2021年01月19日 11:23|尊敬的投资者您好，公司一定尽快回复上交所的问询，后面重组草案还需要经过董事会、股东大会、监管机构的审批，感谢您的关注。|2021年01月19日 14:12
白酒才是真科技| 大豪科技|公司是否会考虑在年度股东大会分发红星二锅头？这样也能增强知名度，同时回馈股东。|2021年01月18日 08:55|尊敬的投资者您好，董事会尚未就2020年的分红方案做出讨论，感谢关注。|2021年01月18日 10:09
白酒才是真科技| 大豪科技|张永恒、费明硕是否提前知晓公司重组内幕？另外大豪重组的事项是否只有170多人知道？为什么有人提前就在微信群中提示大豪在谋划重大资产重组事宜？|2021年01月18日 08:55|尊敬的投资者，您好。关于自然人股东张永恒等个人交易行为前面已做回复，不再重复。公司根据相关法规，经本公司自查，并向中国证券登记结算有限公司上海分公司申请查询了内幕信息知情人（包括上市公司、上市公司控股股东和交易对方及其董事、监事和高级管理人员，参与本次重组筹划的中介机构人员及上述人员的直系亲属）自 2020 年 5 月 25 日至 2020 年 12 月 17 日交易本公司股票的情况，未发现以上人员在此期间有交易本公司股票的行为。详见2020年12月22日本公司在上交所网站公告。另关于你所说的内幕信息相关线索，欢迎你向公司提供线索或者向监管部门提交举报，感谢关注。|2021年01月18日 10:02
亮剑2018168| 大豪科技|董秘 您好！强烈要求公司停牌！待重组事项完毕后再开牌！本人也会发函建议证监会修改制度，发布重组预案前必须先停牌，重组证监会受理通过或者没通过后才能复牌！|2021年01月14日 11:39|尊敬的投资者，感谢您的建议，公司停复牌是需要按照证监会和交易所相关规则进行的，感谢关注。|2021年01月14日 13:04
浙A投资客| 大豪科技|如何解释张永恒的精准投资？|2021年01月13日 14:28|尊敬的投资者，您好。投资是股东个人的自主决策行为，公司无法知晓股东个人投资的决策过程，张永恒先生持股比例未达到需要法定信息披露的比例，公司无法了解张永恒先生投资的真实意图，对张永恒先生的投资行为公司无法评论。感谢关注。|2021年01月14日 09:21
虎虎虎928| 大豪科技|按照规定，回复问询延期多少天？有规定吗？请问贵公司大约什么时间能回复？|2021年01月13日 17:17|尊敬的投资者，您好，公司会在真实、准确、完整的前提下尽快回复问询，感谢关注。|2021年01月14日 09:16
2750401| 大豪科技|尊敬的董秘：今天是证监会发出“问询函”的第17个工作日，请问公司董秘，还要多久才能回复“问询函”？另外，重组工作进行到哪一步了？公司为什么不定时披露股民们热切关心的公司重组进度情况？股价跌得一塌糊涂，公司为什么不出来通报个情况？既使公司重组失败，也要给股民及时的明白交待呀！请董秘或高管回答。谢谢|2021年01月14日 08:58|尊敬的投资者您好，本次重大资产重组涉及的标的较多，公司会在保证真实准确完整的前提下尽快回复，感谢关注。|2021年01月14日 09:14
